month,rows,gnd_counts,old_main_red_W,new_main_red_W,old_main_black_W,new_main_black_W,old_mains_W,new_mains_W,mains_correction_pct,old_gnd_strip_W,new_gnd_strip_W
2018-12,193411,299.5,1295.9,1295.9,389.7,425.9,1685.7,1721.8,2.15,89.7,10.9
2019-01,295236,291.5,1283.2,1283.2,1105.8,1186.3,2389.0,2469.6,3.37,103.5,34.0
2019-02,296144,288.5,1257.4,1257.4,1153.0,1232.8,2410.4,2490.2,3.31,103.8,4.0
2019-03,353052,287.8,1056.5,1056.5,1088.1,1167.6,2144.6,2224.1,3.71,109.3,48.4
2019-04,313432,289.9,953.2,953.2,1074.5,1154.6,2027.6,2107.8,3.95,105.1,72.4
2019-05,343869,290.5,845.3,845.3,1000.1,1080.4,1845.4,1925.7,4.35,117.4,90.0
2019-06,356449,301.1,877.8,877.8,1002.2,1085.4,1880.0,1963.2,4.43,103.6,6.7
2019-07,421916,307.3,1165.5,1165.5,1186.2,1271.1,2351.7,2436.6,3.61,130.9,85.9
2019-08,403330,311.0,1019.6,1019.6,1106.7,1192.6,2126.3,2212.2,4.04,136.6,116.0
2019-09,359142,305.9,755.3,755.3,979.8,1064.4,1735.1,1819.7,4.87,147.4,149.7
2019-10,372765,305.5,775.1,775.1,1019.6,1104.0,1794.7,1879.1,4.7,151.4,156.0
2019-11,400508,300.8,996.3,996.3,1073.3,1156.4,2069.6,2152.7,4.02,123.3,113.7
2019-12,263859,293.6,1122.2,1122.2,1102.0,1183.1,2224.2,2305.3,3.64,108.4,77.8
2020-01,322958,289.5,1054.9,1054.9,922.8,1002.8,1977.7,2057.7,4.05,88.7,14.7
2020-02,241092,288.5,989.0,989.0,921.9,1001.7,1910.9,1990.7,4.18,90.5,33.0
2020-03,43422,294.1,1167.0,1166.9,1094.1,1174.9,2261.1,2341.8,3.57,99.8,19.5
2020-04,149276,293.0,1038.1,1038.1,939.9,1020.9,1978.1,2059.0,4.09,96.0,36.5
2020-06,138827,307.1,1201.1,1201.1,1171.4,1256.3,2372.5,2457.4,3.58,125.8,61.3
2020-07,378314,304.4,1168.2,1168.2,988.7,1072.8,2156.9,2241.0,3.9,117.3,32.4
2020-08,325543,306.2,1142.6,1142.6,1020.3,1105.0,2162.9,2247.6,3.91,123.1,52.7
2020-09,352154,305.2,1068.6,1068.7,1092.9,1177.2,2161.5,2245.9,3.9,133.4,96.6
2020-10,315398,299.8,1071.9,1071.9,997.5,1080.3,2069.4,2152.2,4.0,100.7,26.2
2020-11,373817,299.8,1003.2,1003.2,1071.2,1154.0,2074.4,2157.2,3.99,106.8,70.2
2020-12,384127,294.7,1195.6,1195.6,1082.7,1164.2,2278.3,2359.8,3.58,101.7,8.6
2021-01,325940,291.2,1120.5,1120.5,1161.4,1242.0,2281.9,2362.5,3.53,113.1,69.9
2021-04,275939,286.4,993.2,993.2,1124.3,1203.5,2117.5,2196.7,3.74,114.9,71.6
2021-05,437320,289.1,947.7,947.7,1132.3,1212.2,2080.0,2159.9,3.84,126.9,89.2
2021-06,448764,299.6,1138.6,1138.6,1122.6,1205.4,2261.2,2344.0,3.66,136.7,48.2
2021-07,129049,303.1,1058.0,1058.0,1221.9,1305.7,2279.9,2363.7,3.67,146.3,95.3
2021-08,61172,303.6,1301.5,1301.6,1305.4,1389.2,2606.9,2690.8,3.22,145.9,50.7
2021-10,201902,295.0,775.8,775.9,1118.0,1199.6,1893.9,1975.5,4.31,150.3,149.0
2021-11,200960,291.9,858.9,859.0,1130.3,1211.0,1989.2,2070.0,4.06,136.1,133.4
2022-04,150129,297.9,897.1,897.2,1320.4,1402.7,2217.5,2299.9,3.71,114.4,88.6
2022-05,410421,302.6,856.4,856.5,1255.6,1339.2,2112.0,2195.7,3.96,149.4,130.3
2022-06,407249,306.6,890.5,890.5,1175.9,1260.7,2066.4,2151.2,4.1,139.9,83.4
